City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
151,Yar-Sale,RU,2022-10-14 14:07:09,66.8333,70.8333,41.95,88,100,9.73
152,Lagoa,PT,2022-10-14 14:07:09,39.05,-27.9833,70.45,89,99,15.08
153,Moyale,KE,2022-10-14 14:07:10,3.5167,39.0584,76.68,49,75,12.1
154,Hovd,MN,2022-10-14 14:07:11,48.0056,91.6419,34.5,47,6,3.78
155,Novorzhev,RU,2022-10-14 14:07:11,57.0294,29.3338,49.93,70,88,6.13
156,Brooks,CA,2022-10-14 14:07:12,50.5834,-111.8851,54.63,37,100,9.28
157,Lapeer,US,2022-10-14 14:03:05,43.0514,-83.3188,42.8,61,100,9.22
158,Kalmunai,LK,2022-10-14 14:07:13,7.4167,81.8167,79.09,84,92,5.88
159,Paamiut,GL,2022-10-14 14:07:14,61.994,-49.6678,31.37,48,0,17.69
160,Alofi,NU,2022-10-14 14:07:14,-19.0595,-169.9187,77.14,81,72,13.09
161,La Ronge,CA,2022-10-14 14:07:15,55.1001,-105.2842,29.17,72,2,4.07
162,Amapa,BR,2022-10-14 14:07:16,1.0,-52.0,89.83,48,69,6.33
163,Puerto Ayora,EC,2022-10-14 14:07:16,-0.7393,-90.3518,69.76,99,97,5.99
164,Yellowknife,CA,2022-10-14 14:07:17,62.456,-114.3525,39.56,75,100,23.0
165,Pangkalanbuun,ID,2022-10-14 14:07:18,-2.6833,111.6167,76.86,89,100,1.41
166,Castro,BR,2022-10-14 13:59:54,-24.7911,-50.0119,59.22,96,100,5.88
167,Seversk,RU,2022-10-14 14:07:19,56.6006,84.8864,36.09,85,48,5.48
168,Tongren,CN,2022-10-14 14:07:20,27.7172,109.1853,63.93,47,0,3.85
169,Airai,TL,2022-10-14 13:59:57,-8.9266,125.4092,62.71,92,55,1.57
170,Impfondo,CG,2022-10-14 13:59:50,1.6381,18.0667,84.24,59,87,2.98
171,Paracatu,BR,2022-10-14 14:04:35,-17.2222,-46.8747,88.11,26,30,7.11
172,Geraldton,AU,2022-10-14 14:07:22,-28.7667,114.6,59.41,77,75,11.5
173,Bozeman,US,2022-10-14 14:05:00,45.6796,-111.0386,38.62,86,0,3.44
174,Synya,RU,2022-10-14 14:07:23,65.3718,58.0387,39.34,91,89,1.36
175,Kapaa,US,2022-10-14 14:04:25,22.0752,-159.319,75.18,93,75,4.61
176,Pandan,PH,2022-10-14 14:07:24,14.0453,124.1694,81.36,83,91,11.9
177,Talnakh,RU,2022-10-14 14:07:26,69.4865,88.3972,31.91,99,100,10.22
178,Ngaoundere,CM,2022-10-14 14:07:26,7.3167,13.5833,75.11,77,56,6.04
179,Mlonggo,ID,2022-10-14 14:08:27,-6.5333,110.7,80.53,81,100,6.17
180,Bilgoraj,PL,2022-10-14 14:08:27,50.5411,22.722,61.66,56,73,5.55
181,Igarka,RU,2022-10-14 14:08:28,67.4667,86.5833,35.73,90,100,17.25
182,Lusambo,CD,2022-10-14 14:08:29,-4.9667,23.45,101.66,18,24,3.53
183,Husavik,IS,2022-10-14 14:08:29,66.0449,-17.3389,37.33,94,100,12.8
184,Savelugu,GH,2022-10-14 14:08:30,9.6244,-0.8253,87.55,53,94,5.55
185,Grindavik,IS,2022-10-14 13:59:58,63.8424,-22.4338,41.47,65,0,17.27
186,Beloha,MG,2022-10-14 13:59:53,-25.1667,45.05,86.18,34,0,15.88
187,Taltal,CL,2022-10-14 14:08:31,-25.4,-70.4833,61.27,71,16,4.03
188,Adrar,MR,2022-10-14 14:08:33,20.5022,-10.0711,94.06,16,100,4.03
189,Tadine,NC,2022-10-14 14:08:33,-21.55,167.8833,68.65,68,8,9.62
190,Snyder,US,2022-10-14 14:08:34,32.7179,-100.9176,57.54,44,0,4.61
191,Isangel,VU,2022-10-14 14:08:36,-19.55,169.2667,70.16,73,6,8.16
192,Mamallapuram,IN,2022-10-14 14:08:36,12.6264,80.1722,84.25,72,100,7.52
193,Buchanan,LR,2022-10-14 14:05:25,5.8808,-10.0467,79.03,80,100,7.36
194,Fortuna,US,2022-10-14 14:08:37,40.5982,-124.1573,47.32,100,100,3.44
195,Thames,NZ,2022-10-14 14:08:37,-37.1333,175.5333,52.27,73,100,8.86
196,Alacranes,CU,2022-10-14 14:08:38,22.7675,-81.5675,79.29,77,100,2.3
197,Moranbah,AU,2022-10-14 14:08:38,-22.0016,148.0466,70.72,80,0,9.91
198,Vestmannaeyjar,IS,2022-10-14 14:08:39,63.4427,-20.2734,45.59,61,20,5.75
199,Cochrane,CA,2022-10-14 14:08:39,51.1834,-114.4687,52.12,28,59,4.7
200,Allonnes,FR,2022-10-14 14:08:40,47.9674,0.1581,66.24,88,100,14.97
201,Nanortalik,GL,2022-10-14 14:00:01,60.1432,-45.2371,33.87,63,2,7.72
202,Bathsheba,BB,2022-10-14 14:08:41,13.2167,-59.5167,88.41,62,20,13.8
203,Minsk,BY,2022-10-14 14:08:26,53.9,27.5667,53.35,63,30,8.46
204,Mar Del Plata,AR,2022-10-14 13:58:35,-38.0023,-57.5575,54.95,55,0,5.99
205,Port Elizabeth,ZA,2022-10-14 14:08:41,-33.918,25.5701,69.1,98,99,3.0
206,Kralendijk,BQ,2022-10-14 14:08:42,12.15,-68.2667,87.78,70,40,14.97
207,Lebu,CL,2022-10-14 14:08:42,-37.6167,-73.65,54.28,72,28,15.39
208,Chokurdakh,RU,2022-10-14 14:08:43,70.6333,147.9167,10.36,92,100,6.6
209,Lima Duarte,BR,2022-10-14 14:08:43,-21.8425,-43.7931,85.5,37,3,4.47
210,Hamilton,US,2022-10-14 14:06:47,39.1834,-84.5333,52.77,67,0,10.36
211,Torbay,CA,2022-10-14 14:08:44,47.6666,-52.7314,58.39,83,26,1.99
212,Port Hueneme,US,2022-10-14 14:08:44,34.1478,-119.1951,66.33,92,100,3.44
213,Porto Novo,BJ,2022-10-14 14:08:45,6.4965,2.6036,83.98,64,100,8.9
214,Grong,NO,2022-10-14 14:08:46,64.4654,12.3149,47.48,75,39,11.05
215,Sitka,US,2022-10-14 14:05:56,57.0531,-135.33,42.69,81,20,6.91
216,Marand,IR,2022-10-14 14:08:46,38.4329,45.7749,66.96,32,100,2.8
217,Verkhnevilyuysk,RU,2022-10-14 14:08:47,63.4453,120.3167,26.62,96,98,5.95
218,Beian,NO,2022-10-14 14:08:47,63.6559,9.5683,53.01,66,20,14.97
219,Valparaiso,CL,2022-10-14 14:08:48,-33.0393,-71.6273,75.43,50,0,11.5
