City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
136,Seoul,KR,37.5683,126.9778,58.44,47,100,2.53,overcast clouds
137,Raymond,US,43.9015,-70.4703,68.52,67,20,7.05,few clouds
138,Port Shepstone,ZA,-30.7414,30.455,66.94,78,100,8.57,overcast clouds
139,Haverfordwest,GB,51.8017,-4.9691,54.99,88,69,4.0,light rain
140,Bosaso,SO,11.2842,49.1816,81.41,71,0,3.65,clear sky
141,Aksu,CN,41.1231,80.2644,57.76,20,6,2.77,clear sky
142,Saint-Pierre,RE,-21.3393,55.4781,74.57,73,75,1.14,broken clouds
143,Souillac,MU,-20.5167,57.5167,71.98,68,20,6.91,few clouds
144,Asyut,EG,27.181,31.1837,83.41,29,1,6.96,clear sky
145,Humaita,BR,-7.5061,-63.0208,93.61,44,79,1.86,broken clouds
146,Flinders,AU,-34.5833,150.8552,56.37,75,72,1.99,broken clouds
147,Te Anau,NZ,-45.4167,167.7167,48.25,96,100,3.33,overcast clouds
148,Gusau,NG,12.1628,6.6614,85.41,31,60,4.12,broken clouds
149,Kulhudhuffushi,MV,6.6221,73.07,81.21,78,79,14.36,broken clouds
150,Mosquera,CO,4.7059,-74.2302,64.49,59,75,2.3,light rain
151,Nanortalik,GL,60.1432,-45.2371,40.62,79,0,1.45,clear sky
152,Lakes Entrance,AU,-37.8811,147.981,53.17,71,96,4.41,overcast clouds
153,Novyy Urengoy,RU,66.0833,76.6333,33.26,86,98,8.23,overcast clouds
154,Airai,TL,-8.9266,125.4092,61.72,80,56,2.51,broken clouds
155,Zavetnoye,RU,47.1194,43.8903,49.06,56,1,9.95,clear sky
156,Haimen,CN,23.1935,116.6142,75.97,79,100,6.51,overcast clouds
157,Saint George,US,37.1041,-113.5841,72.79,22,0,3.44,clear sky
158,Utete,TZ,-7.986,38.758,74.17,72,45,9.13,scattered clouds
159,Cherskiy,RU,68.75,161.3,9.07,96,99,7.61,light snow
160,Pisco,PE,-13.7,-76.2167,66.25,68,3,9.22,haze
161,Yar-Sale,RU,66.8333,70.8333,38.28,83,99,3.4,overcast clouds
162,San Patricio,US,28.017,-97.5169,89.69,49,31,11.95,scattered clouds
163,Alofi,NU,-19.0595,-169.9187,77.56,83,6,12.88,clear sky
164,Rawlins,US,41.7911,-107.2387,51.69,35,0,4.61,clear sky
165,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,36.66,77,93,10.71,overcast clouds
166,Najran,SA,17.4924,44.1277,72.99,16,5,6.89,clear sky
167,Kurilsk,RU,45.2333,147.8833,50.22,77,59,4.0,broken clouds
168,Victoria,HK,22.2855,114.1577,83.32,48,100,8.99,overcast clouds
169,Zanjan,IR,36.6736,48.4787,65.5,23,86,7.94,overcast clouds
170,Cizre,TR,37.3272,42.1903,72.61,32,0,3.44,clear sky
171,Brigantine,US,39.4101,-74.3646,71.04,50,0,14.97,clear sky
172,Tucano,BR,-10.9631,-38.7867,95.22,22,6,12.44,clear sky
173,Dingle,PH,10.9995,122.6711,78.15,85,98,7.72,overcast clouds
174,Leningradskiy,RU,69.3833,178.4167,8.56,90,33,5.14,scattered clouds
175,Codlea,RO,45.7,25.45,49.91,42,33,3.13,scattered clouds
176,Ayan,RU,56.45,138.1667,39.63,75,100,12.21,overcast clouds
177,Ponta Do Sol,PT,32.6667,-17.1,76.01,75,63,2.68,broken clouds
178,Sarangani,PH,5.4033,125.4636,84.25,76,86,14.25,overcast clouds
179,Eyl,SO,7.9803,49.8164,78.73,79,4,15.61,clear sky
180,Keti Bandar,PK,24.1447,67.4497,82.38,59,30,10.87,scattered clouds
181,New Norfolk,AU,-42.7826,147.0587,45.9,63,7,2.62,clear sky
182,Tianpeng,CN,30.9866,103.9393,65.71,69,80,4.23,broken clouds
183,Mahibadhoo,MV,3.7833,72.9667,80.37,80,90,17.27,overcast clouds
184,Savalou,BJ,7.9281,1.9756,79.41,82,99,1.97,overcast clouds
185,Gizo,SB,-8.103,156.8419,81.46,73,45,3.67,scattered clouds
186,Semporna,MY,4.4818,118.6112,79.68,84,76,0.18,light rain
187,Chuy,UY,-33.6971,-53.4616,62.28,62,96,14.67,overcast clouds
188,Tooele,US,40.5308,-112.2983,66.9,31,0,9.22,clear sky
189,La Tuque,CA,47.4334,-72.7824,48.45,81,1,3.44,clear sky
190,Dzhebariki-Khaya,RU,62.2167,135.8,16.56,97,98,0.45,light snow
191,Guerrero Negro,MX,27.9769,-114.0611,69.49,59,89,5.06,overcast clouds
192,Boyolangu,ID,-8.1181,111.8935,76.24,90,100,4.61,light rain
193,Lebu,CL,-37.6167,-73.65,56.61,66,94,18.95,overcast clouds
194,Havelock,US,34.8791,-76.9013,75.18,51,0,5.01,clear sky
195,Esna,EG,25.2934,32.554,84.02,18,10,8.88,clear sky
196,Kodiak,US,57.79,-152.4072,47.71,93,100,4.61,overcast clouds
197,Kirakira,SB,-10.4544,161.9205,79.57,83,37,4.5,scattered clouds
198,Diffa,NE,13.3154,12.6113,89.65,12,83,8.43,broken clouds
199,Boende,CD,-0.2167,20.8667,75.38,80,97,3.65,overcast clouds
200,Provideniya,RU,64.3833,-173.3,26.15,76,69,11.81,broken clouds
201,Ban Nahin,LA,18.2418,104.2122,69.21,67,100,3.53,overcast clouds
202,Kahului,US,20.8947,-156.47,78.82,82,40,8.05,moderate rain
203,Kalaleh,IR,37.3807,55.4916,73.33,40,8,3.42,clear sky
204,Kyabe,TD,9.4515,18.9449,80.2,67,90,1.5,overcast clouds
205,Solnechnyy,RU,50.7214,136.6319,43.41,97,100,4.16,overcast clouds
206,Ramanuj Ganj,IN,23.8,83.7,72.37,74,75,2.77,broken clouds
207,Ponta Delgada,PT,37.7333,-25.6667,70.52,64,40,14.97,scattered clouds
208,Fare,PF,-16.7,-151.0167,78.19,77,1,13.02,light rain
209,Ust-Nera,RU,64.5667,143.2,-0.53,100,78,4.18,broken clouds
210,Bantry,IE,51.6833,-9.45,51.31,80,76,24.7,broken clouds
211,Cap-Aux-Meules,CA,47.3821,-61.8597,57.22,77,100,14.97,overcast clouds
212,Kiama,AU,-34.6833,150.8667,62.01,74,76,3.0,broken clouds
213,Mineiros,BR,-17.5694,-52.5511,95.94,15,10,6.89,clear sky
214,Castro,BR,-24.7911,-50.0119,60.3,93,100,5.55,light rain
215,Iberia,US,29.9502,-91.7507,84.06,47,0,5.75,clear sky
216,Praia Da Vitoria,PT,38.7333,-27.0667,71.76,71,100,15.26,light rain
217,Sabak,MY,3.7675,100.9875,75.58,89,63,2.55,broken clouds
218,Saint-Joseph,RE,-21.3667,55.6167,73.47,78,44,8.81,scattered clouds
219,Baruun-Urt,MN,46.6806,113.2792,26.01,46,1,10.87,clear sky
220,Talcahuano,CL,-36.7167,-73.1167,67.68,56,0,17.27,clear sky
221,Peniche,PT,39.3558,-9.3811,70.09,83,99,7.23,overcast clouds
222,Izhma,RU,65.0083,53.9113,38.28,96,100,3.49,light rain
223,Malanville,BJ,11.8685,3.3899,88.79,46,97,2.39,overcast clouds
224,Kutum,SD,14.2,24.6667,83.17,20,9,6.13,clear sky
225,Viedma,AR,-40.8135,-62.9967,72.19,19,3,16.49,clear sky
226,Fort Myers Beach,US,26.452,-81.9481,90.05,69,40,10.36,scattered clouds
227,Berdigestyakh,RU,62.0989,126.6992,22.03,97,100,4.21,overcast clouds
228,Jining,CN,35.405,116.5814,65.55,47,99,4.36,overcast clouds
229,Gebre Guracha,ET,9.8,38.4,56.77,68,54,4.79,broken clouds
230,Marzuq,YE,14.4,46.4667,73.92,52,21,5.66,few clouds
231,Mayumba,GA,-3.432,10.6554,77.18,85,83,8.88,broken clouds
232,Rocha,UY,-34.4833,-54.3333,63.45,54,100,13.91,overcast clouds
233,Tommot,RU,58.9564,126.2925,21.49,99,100,2.51,overcast clouds
234,Bouca,CF,6.5105,18.2733,73.4,89,100,2.98,overcast clouds
235,Tezu,IN,27.9167,96.1667,71.89,81,1,3.47,clear sky
236,Inhambane,MZ,-23.865,35.3833,75.18,73,20,6.91,few clouds
237,Tuy Hoa,VN,13.0833,109.3,74.64,89,99,4.38,overcast clouds
238,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,91.06,33,96,9.82,overcast clouds
