City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
424,Nilagiri,IN,76.98,clear sky,21.4582,86.7722,Guru Shakti
425,Mocuba,MZ,79.54,clear sky,-16.8392,36.9856,Phama Lodge
430,Meulaboh,ID,75.43,light rain,4.1363,96.1285,Kost Pria
435,Ler,SS,76.39,overcast clouds,8.3018,30.1418,Leer Humanitarian Hub
438,Vanimo,PG,77.52,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
439,Laguna De Perlas,NI,78.89,broken clouds,12.3429,-83.6712,Hotel Best View
443,Bitung,ID,77.85,overcast clouds,1.4451,125.1824,K2 Lembeh
448,Himatnagar,IN,78.06,clear sky,23.6,72.95,Hotel Sunrise Grand
466,Tecoanapa,MX,85.21,few clouds,16.5167,-98.75,Hotel Manglares
469,Miandrivazo,MG,78.91,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
470,Lubao,PH,83.91,overcast clouds,14.9167,120.55,Hacienda Gracia
475,Berbera,SO,84.56,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
476,Hambantota,LK,78.73,overcast clouds,6.1241,81.1185,Bungalow 63
477,Acari,PE,77.99,clear sky,-15.4311,-74.6158,HOSPEDAJE XIMENA
479,Tomatlan,MX,86.45,scattered clouds,19.9333,-105.25,El Salvial
487,Todos Santos,MX,78.44,overcast clouds,23.45,-110.2167,Hotel California Todos Santos
489,Hobyo,SO,78.84,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
495,Acarau,BR,88.52,clear sky,-2.8856,-40.12,castelo pizzaria
499,Lodwar,KE,88.3,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
503,Pirojpur,BD,75.97,clear sky,22.5667,89.9833,"সার্কিট হাউজে, পিরোজপুর"
504,Champerico,GT,88.34,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
509,Clovis,US,87.67,clear sky,36.8252,-119.7029,Fairfield Inn & Suites by Marriott Fresno Clovis
511,Sabha,LY,78.04,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
512,Touros,BR,84.25,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
513,Galveston,US,88.09,clear sky,29.3669,-94.9669,Crystal Suites
523,Manali,IN,84.29,few clouds,13.1667,80.2667,Sarathy Lodge
527,Greenville,US,77.13,clear sky,35.6127,-77.3663,"Holiday Inn Express Greenville, an IHG Hotel"
528,Kudahuvadhoo,MV,80.35,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
533,Russell,US,81.97,clear sky,32.3502,-85.1999,Macs
534,Puerto Lopez,CO,89.73,scattered clouds,4.0845,-72.956,Resguardo Indigena Maguare
535,Ranipur,PK,81.91,clear sky,27.2879,68.5051,Dr. Kadir Bakhsh Memon House
537,Kimbe,PG,76.6,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
542,Ambilobe,MG,75.33,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
544,Torrijos,ES,78.85,clear sky,39.9819,-4.2835,Hotel La Salve
551,Namatanai,PG,79.07,light rain,-3.6667,152.4333,Seagulls Inn Namatani
558,Mecca,SA,84.54,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
562,Biak,ID,76.68,broken clouds,-0.9131,122.8766,Penginapan Kim
567,Acajutla,SV,84.4,scattered clouds,13.5928,-89.8275,CASA DE LA PERRA
568,Caete,BR,86.25,overcast clouds,-19.88,-43.6697,Hotel JM Ferreira
570,Dillon,US,80.94,clear sky,34.4166,-79.3712,Dillon Express Inn
578,Portland,US,75.61,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
583,Bani,DO,88.86,few clouds,18.2833,-70.3333,Hospedaje Henriquez
